id,seq_no,total_col,material_code,material_name,spec_model,aux_attr,warehouse,bin_location,stock_status,stock_type,inventory_uom,base_uom,inventory_qty,reserved_inventory_qty,available_inventory_qty,base_qty,reserved_base_qty,available_base_qty,batch_no,batch_master,manufacture_date,expiry_date,inventory_org,owner_type,owner,custodian_type,custodian,conv_ratio,purchase_qty_reserved,purchase_uom,conv_ratio_available,purchase_qty_available,purchase_qty,conv_ratio_reserved,inbound_date
0000002564,41,,403-000032,402遥控器外置21700电池,YNSC2150202-21700-2S1P,,苏州不良品仓,B26-01-01,可用,普通,个,个,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,20250331,20250331,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2025-03-31
0000021773,42,,403-000032,402遥控器外置21700电池,YNSC2150202-21700-2S1P,,乌鲁木齐备件仓,A010-01-02,可用,普通,个,个,2.000000,0.000000,2.000000,2.000000,0.000000,2.000000,HD540Sup-004-2310-2.,HD540Sup-004-2310-2.,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2025-03-31
0000032111,43,,403-000032,402遥控器外置21700电池,YNSC2150202-21700-2S1P,,哈尔滨备件仓,A02-01-01,可用,普通,个,个,8.000000,0.000000,8.000000,8.000000,0.000000,8.000000,HD540Sup-004-2310-2.,HD540Sup-004-2310-2.,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2025-03-31
0000004013,44,,403-000032,402遥控器外置21700电池,YNSC2150202-21700-2S1P,,哈尔滨备件仓,B03-03-08,可用,普通,个,个,9.000000,0.000000,9.000000,9.000000,0.000000,9.000000,HD540Sup-004-2310-2.,HD540Sup-004-2310-2.,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2025-03-31
0000020483,45,,403-000032,402遥控器外置21700电池,YNSC2150202-21700-2S1P,,借用仓,,可用,普通,个,个,6.000000,0.000000,6.000000,6.000000,0.000000,6.000000,202503310001,202503310001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2025-03-31
0000005670,46,,403-000032,402遥控器外置21700电池,YNSC2150202-21700-2S1P,,建湖仓,,可用,普通,个,个,54.000000,0.000000,54.000000,54.000000,0.000000,54.000000,HD580-004-2410-1.5K,HD580-004-2410-1.5K,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2025-03-31
0000032879,47,,403-000032,402遥控器外置21700电池,YNSC2150202-21700-2S1P,,苏州不良品仓,B26-01-03,可用,普通,个,个,5.000000,0.000000,5.000000,5.000000,0.000000,5.000000,202503310001,202503310001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2025-03-31
0000016726,48,,403-000032,402遥控器外置21700电池,YNSC2150202-21700-2S1P,,借用仓,,可用,普通,个,个,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,202503310001,202503310001,,,苏州友安贸易有限公司,业务组织,苏州友安贸易有限公司,库存组织,苏州友安贸易有限公司,,,,,,,,2025-03-31
0000006227,49,,403-000032,402遥控器外置21700电池,YNSC2150202-21700-2S1P,,建湖仓,,可用,普通,个,个,12.000000,0.000000,12.000000,12.000000,0.000000,12.000000,HD540Sup-004-2310-2.,HD540Sup-004-2310-2.,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2025-03-31
0000020494,50,,403-000033,402遥控器内置18650电池-2,18650/32E,,苏州无人机原料仓,B01-01-01,可用,普通,个,个,44.000000,0.000000,44.000000,44.000000,0.000000,44.000000,202512150001,202512150001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2025-12-15
0000032642,51,,403-000033,402遥控器内置18650电池-2,18650/32E,,苏州无人机原料仓,B01-01-01,可用,普通,个,个,450.000000,0.000000,450.000000,450.000000,0.000000,450.000000,202603270001,202603270001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2026-03-27
0000039782,52,,403-000033,402遥控器内置18650电池-2,18650/32E,,苏州无人机原料仓,B01-01-01,可用,普通,个,个,600.000000,0.000000,600.000000,600.000000,0.000000,600.000000,202604250001,202604250001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2026-04-25
0000004976,53,,403-000033,402遥控器内置18650电池-2,18650/32E,,苏州不良品仓,B26-01-02,可用,普通,个,个,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,202503310001,202503310001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2025-03-31
0000019104,54,,403-000034,402遥控器内置18650电池-1,18650/32E,,苏州无人机原料仓,B01-01-01,可用,普通,个,个,21.000000,0.000000,21.000000,21.000000,0.000000,21.000000,202512020001,202512020001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2025-12-02
0000020495,55,,403-000034,402遥控器内置18650电池-1,18650/32E,,苏州无人机原料仓,B01-01-01,可用,普通,个,个,3.000000,0.000000,3.000000,3.000000,0.000000,3.000000,202512150001,202512150001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2025-12-15
0000039781,56,,403-000034,402遥控器内置18650电池-1,18650/32E,,苏州无人机原料仓,B01-01-01,可用,普通,个,个,600.000000,0.000000,600.000000,600.000000,0.000000,600.000000,202604250001,202604250001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2026-04-25
0000033977,57,,403-000034,402遥控器内置18650电池-1,18650/32E,,苏州无人机原料仓,B01-01-01,可用,普通,个,个,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,202604020001,202604020001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2026-04-02
0000032641,58,,403-000034,402遥控器内置18650电池-1,18650/32E,,苏州无人机原料仓,B01-01-01,可用,普通,个,个,469.000000,0.000000,469.000000,469.000000,0.000000,469.000000,202603270001,202603270001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2026-03-27
0000019210,86,,403-000052,UA400软包500mAh锂离子聚合物电池,"603035-500mAh 接插件JST-1.35 2P 线长50mm VL1571 28AWG,带保护板EW01+8205",,苏州装配原料仓,C01-01-01,可用,普通,个,个,1500.000000,0.000000,1500.000000,1500.000000,0.000000,1500.000000,202512030001,202512030001,,,苏州友安电子科技有限公司,业务组织,苏州友安电子科技有限公司,库存组织,苏州友安电子科技有限公司,,,,,,,,2025-12-03
0000017602,87,,403-000052,UA400软包500mAh锂离子聚合物电池,"603035-500mAh 接插件JST-1.35 2P 线长50mm VL1571 28AWG,带保护板EW01+8205",,苏州装配原料仓,C01-01-01,可用,普通,个,个,6357.000000,0.000000,6357.000000,6357.000000,0.000000,6357.000000,202511100001,202511100001,,,苏州友安电子科技有限公司,业务组织,苏州友安电子科技有限公司,库存组织,苏州友安电子科技有限公司,,,,,,,,2025-11-10
0000041675,92,,403-000059,72V动力电池总成,72V30Ah磷酸铁锂动力电池,,苏州待发物料仓,A010-01-01,可用,普通,个,个,4.000000,0.000000,4.000000,4.000000,0.000000,4.000000,202605050001,202605050001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2026-05-05
0000041646,93,,403-000059,72V动力电池总成,72V30Ah磷酸铁锂动力电池,,苏州无人机原料仓,B01-01-01,可用,普通,个,个,17.000000,0.000000,17.000000,17.000000,0.000000,17.000000,202605050001,202605050001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2026-05-05
0000001390,94,,725-000001,贴片陶瓷电容,"22pF,50V,0402,5%",,苏州委外加工仓,苏州朋协智控科技有限公司,可用,普通,个,个,5040.000000,0.000000,5040.000000,5040.000000,0.000000,5040.000000,20250331,20250331,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2025-03-31
0000015608,95,,725-000001,贴片陶瓷电容,"22pF,50V,0402,5%",,苏州委外加工仓,浙江巨传电子股份有限公司,可用,普通,个,个,3410.000000,0.000000,3410.000000,3410.000000,0.000000,3410.000000,202505230001,202505230001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2025-05-23
0000003012,96,,725-000001,贴片陶瓷电容,"22pF,50V,0402,5%",,苏州委外加工仓,临时委外仓位,可用,普通,个,个,120.000000,0.000000,120.000000,120.000000,0.000000,120.000000,20250331-001,20250331-001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2025-03-31
0000015212,97,,725-000001,贴片陶瓷电容,"22pF,50V,0402,5%",,苏州委外加工仓,苏州德华电子有限公司,可用,普通,个,个,4.000000,0.000000,4.000000,4.000000,0.000000,4.000000,202505230001,202505230001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2025-05-23
0000031123,98,,725-000001,贴片陶瓷电容,"22pF,50V,0402,5%",,苏州不良品仓,B26-01-02,可用,普通,个,个,124.000000,0.000000,124.000000,124.000000,0.000000,124.000000,202601050001,202601050001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2026-01-05
0000002816,99,,725-000001,贴片陶瓷电容,"22pF,50V,0402,5%",,苏州委外加工仓,临时委外仓位,可用,普通,个,个,242.000000,0.000000,242.000000,242.000000,0.000000,242.000000,20250331-001,20250331-001,,,苏州友安电子科技有限公司,业务组织,苏州友安电子科技有限公司,库存组织,苏州友安电子科技有限公司,,,,,,,,2025-03-31
0000009436,100,,725-000001,贴片陶瓷电容,"22pF,50V,0402,5%",,苏州委外加工仓,上海丰崇电子科技有限公司,可用,普通,个,个,4.000000,0.000000,4.000000,4.000000,0.000000,4.000000,202505230001,202505230001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2025-05-23
0000037959,101,,725-000001,贴片陶瓷电容,"22pF,50V,0402,5%",,苏州委外加工仓,浙江巨传电子股份有限公司,可用,普通,个,个,10000.000000,0.000000,10000.000000,10000.000000,0.000000,10000.000000,202603260001,202603260001,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2026-03-26
0000040638,102,,725-000001,贴片陶瓷电容,"22pF,50V,0402,5%",,苏州委外加工仓,苏州华誉智能科技有限公司,可用,普通,个,个,4315.000000,0.000000,4315.000000,4315.000000,0.000000,4315.000000,20260429,20260429,,,新疆友农科技集团,业务组织,新疆友农科技集团,库存组织,新疆友农科技集团,,,,,,,,2026-04-29
